esxcli,PowerCLI,Example Value
Cache hit rate (as a percentage),Cachehitrateasapercentage,16
Max observed I/O latency (in microseconds),MaxobservedIOlatencyinmicroseconds,4154
Max observed IOPS,MaxobservedIOPS,332
Max observed number of KB per I/O,MaxobservednumberofKBperIO,7521
Mean I/O latency (in microseconds),MeanIOlatencyinmicroseconds,3511
Mean IOPS,MeanIOPS,284
Mean cache I/O latency (in microseconds),MeancacheIOlatencyinmicroseconds,111
Mean disk I/O latency (in microseconds),MeandiskIOlatencyinmicroseconds,8278
Mean number of KB per I/O,MeannumberofKBperIO,427
Total I/Os,TotalIOs,71525
Total cache I/Os,TotalcacheIOs,11258
(TotalIOs - TotalcacheIOs),TotaldiskIOs,60267
Cache usage rate (as a percentage),Cacheusagerateasapercentage,7
Mean number of cache blocks in use,Meannumberofcacheblocksinuse,89807
